年度,股票代號,股票名稱,公司名稱,英文名稱,地址,電話,傳真機號碼,實收資本額(百萬),成立日期,上市日期,上櫃日期,興櫃日期,公發日期,終止日期,董事長,總經理,發言人,發言人職稱,上市上櫃,網址,電子信箱,股票過戶機構,股務代理電話,產業代號,產業名稱,經營項目,國際證券編碼,統一編號,交易所公告股本(千),交易所普通股股本(千),交易所特別股股本(千),簽證會計師事務所,RTIME
2014,2837,萬泰銀行,萬泰商業銀行股份有限公司,CSMB,台北市大安區敦化南路一段364號,02-80239077,02-81016031,15262,19920114,19980629,,,20140915,20140915,魏寶生,張立荃,何明珠,副總經理,1,http://www.cosmosbank.com.tw,bbb@cosmosbank.com.tw,凱基證券股份有限公司,02-23148800,17,金融保險,利息淨收益74.04%、手續費淨收益19.19%、其他利息以外淨損益3.46%、透過損益按公允價值衡量之金融資產及負債淨損益1.66%、兌換淨損益0.88%,TW0002837002,86517321,15307330,15307330,,安侯建業聯合會計師事務所,294034197
2014,3061,璨圓光電,璨圓光電股份有限公司,FOREPI,桃園縣龍潭鄉龍園一路99號,(03)4994555,(03)4994548,6021,19991104,20030411,,20021211,20000420,20141230,簡奉任,范進雍,林嘉琪,處長,1,http://www.forepi.com.tw,sophie@forepi.com.tw,宏遠證券股份有限公司,(02)7719-8899,01,水泥工業,發光二極體磊晶片及晶粒,TW0003061008,70754136,6020607,6020607,,資誠聯合會計師事務所,294034197
2014,3582,凌耀,凌耀科技股份有限公司,CAPELLAMICRO,新北市新店區復興路43號6樓,02-82186600,02-82186602,435,20020829,,20100629,20081007,20070911,20141231,焦佑鈞,施振強,施振強,總經理,2,http://www.capellamicro.com,info@capellamicro.com,元大寶來證券(股)公司股務代理部,02-25865859,24,電子–半導體,光電類比IC100%,TW0003582003,80270856,435109.5,435109.5,,勤業眾信聯合會計師事務所,294034197
2014,3638,F-IML,安恩科技股份有限公司,IML,台北市內湖區內湖路一段300號4樓之2(台灣聯絡處),(02)2658-5993,(02)2658-6922,742,20090415,20100518,,,,20140910,LouisDiNardo,張舜欽,王正中,遠東區財務長,1,http://www.iml-inc.com.tw,investors@iml-inc.com,中國信託商業銀行代理部,(02)6636-5566,24,電子–半導體,液晶螢幕顯示器電源管理晶片設計,KYG479511019,28982833,745526.6,745526.6,,勤業眾信聯合會計師事務所,294034197
2014,3697,F-晨星,開曼晨星半導體公司,MStar,新竹縣竹北市台元街26號4樓之1,03-552-6006,03-552-6009,5326,20070903,20101224,,,20101117,20140116,梁公偉,梁公偉,林翰飛,財務長,1,http://www.mstarsemi.com,investorrelations@mstarsemi.com,群益金鼎證券股份有限公司,(02)2702-3999,24,電子–半導體,顯示器相關晶片之研發設計及銷售、通訊網路相關晶片之研發設計及銷售、無線射頻辨識系統相關晶片之研發設計及銷售,KYG6320A1004,26596188,5326093,5326093,,資誠聯合會計師事務所,294034197
2014,5261,創傑,創傑科技股份有限公司,ISSC,(30077)新竹市科學工業園區工業東七路5號5樓,(03)577-8385,(03)567-0064,673,19990510,,20131127,20120116,20110915,20141227,GaneshMoorthy,林京元,黃震,副總經理,2,http://www.issc-tech.com/,Public@issc-tech.com,永豐金證券(股)公司股務代理部,(02)2381-6288,24,電子–半導體,電子零組件製造業、資訊軟體服務業、其他設計業(積體電路設計業),TW0005261002,16912593,678224.6,678224.6,,安侯建業聯合會計師事務所,294034197
2014,5326,漢磊科技,漢磊科技股份有限公司,EPISIL,新竹科學園區創新一路3號,03-5779245,03-5776289,3266,19850318,,19970310,,,20141002,黃民奇,詹益仁,范桂榮,副總經理,2,http://www.episil.com,episil_mail@episil.com,凱基證券股份有限公司,(02)23892999,01,水泥工業,晶圓99.43%,TW0005326003,47299902,3266383,3266383,,資誠聯合會計師事務所,294034197
2014,5467,聯福生,聯福生科技股份有限公司,U-FSC,新北市新店區北新路3段205號B2B,(02)89131166,(02)89131212,1112,19910225,,20001116,,19981031,20140325,沈秀美,沈秀美,李惠雯,會計經理,2,http://www.u-fsc.com.tw,webmaster@actc.com.tw,國票綜合證券股份有限公司,(02)2593666,01,水泥工業,電子零組件之設計製造、加工、買賣、電子電腦通信器材及其週邊設備、電腦資訊軟硬體設計、以上產品進出口貿易、一般進出口貿易業務,TW0005467005,23987079,1111776,1111776,,德昌聯合會計師事務所,294034197
2014,8078,華寶通訊,華寶通訊股份有限公司,CCI,台北市內湖區陽光街385號(亞太經貿廣場B棟),(02)8751-6228,(02)8751-8518,6077,19990212,20031209,,20030227,20020507,20140303,陳瑞聰,陳招成,余國棟,協理,1,http://www.compalcomm.com/,Investor@compalcomm.com,中國信託商業銀行代理部,(02)2181-1911,27,電子–通信網路,無線通信機械器材製造業、有線通信機械器材製造業、電信管制射頻器材製造業/輸入業、電信器材批發業、除許可業務外，得經營法令非禁止或限制之業務,TW0008078007,16836505,6079280,6079280,,安侯建業聯合會計師事務所,294034197
2014,911201,僑威,僑威集團有限公司,Kith,香港金鐘道88號太古廣場一期35樓,852-25448778,852-25411008,44,19980429,20100204,,,,20141230,選任中,,選任中,董事長,1,http://www.kithholdings.com,,元富證券股份有限公司,02-27686668,91,存託憑證,包裝印刷、消費性電子貿易業務,TW0009112011,00000000,26145.36,261453.6,,陳浩賢會計師事務所,294034197
