,日期,股票代號,股票名稱,開盤價,最高價,最低價,Close,漲跌,漲幅...,振幅...,成交量,成交筆數,成交金額.千.,均張,成交量變動...,均張變動...,股本.百萬.,總市值.億.,市值比重...,本益比,股價淨值比,本益比.近四季.,週轉率...,成交值比重...,漲跌停,均價,成交量.股.,RTIME
1571,20140127,TWA00,加權指數,8519.48,8519.48,8442.19,8462.57,-135.74,-1.58,0.9,4003707.0,921393.0,100416759.0,4.3,12.2,-8.51,6524759.0,240072.0,100.0,14.6,1.74,18.4,0.42,,,25.08,4003706710.0,123459.0
3259,20140124,TWA00,加權指數,8581.49,8608.64,8577.14,8598.31,3.21,0.04,0.37,3568470.0,763040.0,83743644.0,4.7,-11.38,-2.08,6523929.0,243895.0,100.0,14.8,1.76,18.7,0.34,,,23.47,3568470362.0,123459.0
4945,20140123,TWA00,加權指數,8644.56,8647.87,8595.1,8595.1,-30.2,-0.35,0.61,4026746.0,838436.0,88670076.0,4.8,-4.96,-2.04,6523929.0,243813.0,100.0,14.8,1.76,18.7,0.36,,,22.02,4026745869.0,123459.0
6631,20140122,TWA00,加權指數,8598.98,8633.57,8596.99,8625.3,25.4,0.3,0.43,4236741.0,860681.0,92716106.0,4.9,-12.01,-3.92,6523581.0,244662.0,100.0,14.9,1.77,18.7,0.38,,,21.88,4236741166.0,123459.0
8317,20140121,TWA00,加權指數,8639.71,8650.14,8599.9,8599.9,-21.66,-0.25,0.58,4815021.0,947496.0,106892618.0,5.1,10.28,4.08,6523269.0,243945.0,100.0,14.8,1.76,18.7,0.44,,,22.2,4815020744.0,123459.0
10003,20140120,TWA00,加權指數,8595.59,8636.21,8584.5,8621.56,25.56,0.3,0.6,4366334.0,899847.0,97398333.0,4.9,-3.41,-5.77,6523269.0,244569.0,100.0,14.9,1.77,18.7,0.4,,,22.31,4366334148.0,123459.0
11688,20140117,TWA00,加權指數,8628.49,8628.86,8580.49,8596.0,-16.11,-0.19,0.56,4520608.0,868037.0,106897673.0,5.2,-10.96,4.0,6523269.0,243836.0,100.0,14.8,1.76,18.7,0.44,,,23.65,4520607851.0,123459.0
13372,20140116,TWA00,加權指數,8653.54,8668.95,8610.24,8612.11,9.56,0.11,0.68,5077338.0,1016690.0,109194181.0,5.0,-4.55,-3.85,6522419.0,244246.0,100.0,14.9,1.77,18.7,0.45,,,21.51,5077337947.0,123459.0
15056,20140115,TWA00,加權指數,8567.81,8619.56,8567.81,8602.55,54.41,0.64,0.61,5319587.0,1018135.0,117234122.0,5.2,25.25,4.0,6526475.0,245567.0,100.0,14.9,1.77,18.8,0.48,,,22.04,5319587288.0,123459.0
16740,20140114,TWA00,加權指數,8545.46,8568.31,8523.46,8548.14,-18.06,-0.21,0.52,4247024.0,848873.0,83923065.0,5.0,-8.34,2.04,6526475.0,244054.0,100.0,14.8,1.76,18.6,0.34,,,19.76,4247023670.0,123459.0
18422,20140113,TWA00,加權指數,8587.49,8607.23,8558.96,8566.2,36.85,0.43,0.57,4633451.0,938292.0,94243738.0,4.9,-2.89,-2.0,6525672.0,244423.0,100.0,14.8,1.77,18.7,0.39,,,20.34,4633450841.0,123459.0
20103,20140110,TWA00,加權指數,8559.18,8559.18,8521.5,8529.35,14.67,0.17,0.44,4771244.0,962702.0,100738211.0,5.0,-23.99,2.04,6529747.0,243397.0,100.0,14.8,1.76,18.6,0.41,,,21.11,4771243707.0,123459.0
21784,20140109,TWA00,加權指數,8555.8,8569.11,8506.02,8514.68,-41.33,-0.48,0.74,6277065.0,1273329.0,135377950.0,4.9,15.22,0.0,6529756.0,242992.0,100.0,14.8,1.75,18.6,0.56,,,21.57,6277065462.0,123459.0
23465,20140108,TWA00,加權指數,8548.61,8587.08,8548.61,8556.01,43.71,0.51,0.45,5447852.0,1117566.0,117221977.0,4.9,21.35,4.26,6529756.0,244176.0,100.0,14.8,1.76,18.7,0.48,,,21.52,5447851596.0,123459.0
25145,20140107,TWA00,加權指數,8515.36,8547.19,8512.3,8512.3,12.29,0.14,0.41,4489317.0,951094.0,97181535.0,4.7,-1.48,0.0,6529756.0,242909.0,100.0,14.7,1.75,18.6,0.4,,,21.65,4489316946.0,123459.0
26825,20140106,TWA00,加權指數,8553.0,8568.24,8488.64,8500.01,-46.53,-0.54,0.93,4556811.0,960723.0,96095771.0,4.7,3.42,0.0,6529794.0,242551.0,100.0,14.7,1.75,18.5,0.4,,,21.09,4556810541.0,123459.0
28504,20140103,TWA00,加權指數,8584.74,8584.74,8537.86,8546.54,-66.0,-0.77,0.54,4406185.0,936152.0,93481463.0,4.7,-1.27,-4.08,6529794.0,243899.0,100.0,14.8,1.76,18.6,0.38,,,21.22,4406184851.0,123459.0
30182,20140102,TWA00,加權指數,8618.6,8632.81,8587.54,8612.54,1.03,0.01,0.53,4462793.0,910452.0,92115397.0,4.9,6.81,-2.0,6529794.0,245759.0,100.0,14.9,1.77,18.8,0.37,,,20.64,4462792827.0,123459.0
31865,20140227,TWA00,加權指數,8626.51,8647.9,8615.41,8639.58,38.72,0.45,0.38,4544427.0,912773.0,103620620.0,5.0,-8.4,-1.96,6539729.0,246122.0,100.0,15.1,1.78,18.8,0.42,,,22.8,4544427456.0,123459.0
33553,20140226,TWA00,加權指數,8569.04,8626.68,8563.87,8600.86,25.24,0.29,0.73,4960947.0,980319.0,104799556.0,5.1,11.8,0.0,6538856.0,244987.0,100.0,15.0,1.77,18.8,0.43,,,21.12,4960946789.0,123459.0
35239,20140225,TWA00,加權指數,8581.14,8598.73,8564.51,8575.62,15.01,0.18,0.4,4437477.0,878449.0,92062776.0,5.1,-1.58,-1.92,6538856.0,244266.0,100.0,14.9,1.76,18.7,0.38,,,20.75,4437477089.0,123459.0
36923,20140224,TWA00,加權指數,8603.61,8612.21,8541.65,8560.61,-41.25,-0.48,0.82,4508540.0,862102.0,86206509.0,5.2,-4.08,1.96,6538176.0,243811.0,100.0,14.9,1.76,18.7,0.35,,,19.12,4508539839.0,123459.0
38605,20140221,TWA00,加權指數,8571.29,8612.08,8571.29,8601.86,77.24,0.91,0.48,4700308.0,926531.0,94874122.0,5.1,2.41,4.08,6538163.0,244958.0,100.0,15.0,1.77,18.8,0.39,,,20.18,4700308126.0,123459.0
40286,20140220,TWA00,加權指數,8555.27,8567.5,8513.08,8524.62,-52.39,-0.61,0.63,4589538.0,944186.0,95992737.0,4.9,9.62,2.08,6537963.0,242771.0,100.0,14.9,1.75,18.6,0.4,,,20.92,4589537803.0,123459.0
41967,20140219,TWA00,加權指數,8565.06,8577.01,8543.15,8577.01,20.78,0.24,0.4,4186950.0,879961.0,86599784.0,4.8,12.14,-4.0,6535572.0,244186.0,100.0,14.9,1.76,18.7,0.35,,,20.68,4186950071.0,123459.0
43649,20140218,TWA00,加權指數,8530.81,8556.23,8506.06,8556.23,36.68,0.43,0.59,3733814.0,752994.0,73462690.0,5.0,1.27,0.0,6530672.0,243549.0,100.0,14.9,1.76,18.6,0.3,,,19.67,3733814444.0,123459.0
45331,20140217,TWA00,加權指數,8537.83,8558.5,8512.6,8519.55,5.87,0.07,0.54,3686837.0,740705.0,73226256.0,5.0,-14.67,4.17,6530672.0,242503.0,100.0,14.8,1.75,18.6,0.3,,,19.86,3686837384.0,123459.0
47014,20140214,TWA00,加權指數,8524.54,8566.99,8508.24,8513.68,45.98,0.54,0.69,4320602.0,898979.0,90874517.0,4.8,6.6,-7.69,6536749.0,242655.0,100.0,14.8,1.75,18.6,0.37,,,21.03,4320602347.0,123459.0
48697,20140213,TWA00,加權指數,8506.22,8511.02,8467.7,8467.7,-43.17,-0.51,0.51,4053166.0,773334.0,76687623.0,5.2,-13.28,1.96,6536175.0,241293.0,100.0,14.8,1.74,18.5,0.32,,,18.92,4053166036.0,123459.0
50381,20140212,TWA00,加權指數,8471.51,8510.87,8471.51,8510.87,80.31,0.95,0.47,4674053.0,916499.0,97458754.0,5.1,19.41,2.0,6536175.0,242544.0,100.0,14.8,1.75,18.6,0.4,,,20.85,4674053480.0,123459.0
52066,20140211,TWA00,加權指數,8413.86,8439.33,8401.54,8430.56,38.61,0.46,0.45,3914312.0,782841.0,80594554.0,5.0,-1.42,4.17,6536010.0,240251.0,100.0,14.7,1.74,18.4,0.34,,,20.59,3914312163.0,123459.0
53753,20140210,TWA00,加權指數,8416.42,8447.02,8391.95,8391.95,4.6,0.05,0.66,3970823.0,826541.0,79905996.0,4.8,-8.68,6.67,6536030.0,239159.0,100.0,14.6,1.73,18.3,0.33,,,20.12,3970822789.0,123459.0
55440,20140207,TWA00,加權指數,8383.99,8409.03,8356.93,8387.35,76.34,0.92,0.63,4348438.0,970808.0,97634193.0,4.5,-0.89,2.27,6534550.0,238985.0,100.0,14.6,1.73,18.3,0.41,,,22.45,4348437885.0,123459.0
57127,20140206,TWA00,加權指數,8286.16,8333.56,8284.77,8311.01,46.53,0.56,0.59,4387576.0,998868.0,104384469.0,4.4,-9.38,7.32,6534550.0,236797.0,100.0,14.5,1.71,18.1,0.44,,,23.79,4387575958.0,123459.0
58814,20140205,TWA00,加權指數,8290.17,8313.83,8230.46,8264.48,-198.09,-2.34,0.99,4841976.0,1190962.0,135802903.0,4.1,20.94,-4.65,6531550.0,235406.0,100.0,14.4,1.7,18.0,0.58,,,28.05,4841976045.0,123459.0
60504,20140331,TWA00,加權指數,8802.93,8849.28,8769.97,8849.28,74.64,0.85,0.9,4079090.0,783043.0,87954816.0,5.2,-10.99,4.0,6550548.0,252459.0,100.0,15.4,1.67,17.2,0.35,,,21.56,4079089584.0,123459.0
62195,20140328,TWA00,加權指數,8779.91,8812.41,8751.07,8774.64,-4.93,-0.06,0.7,4582915.0,915068.0,100607158.0,5.0,-3.45,-3.85,6547832.0,250142.0,100.0,15.2,1.81,19.1,0.4,,,21.95,4582915112.0,123459.0
63885,20140327,TWA00,加權指數,8737.56,8780.42,8723.82,8779.57,42.3,0.48,0.65,4746817.0,911289.0,99920732.0,5.2,2.01,0.0,6547147.0,250164.0,100.0,15.2,1.81,19.1,0.4,,,21.05,4746817429.0,123459.0
65575,20140326,TWA00,加權指數,8741.03,8746.71,8717.79,8737.27,47.97,0.55,0.33,4653433.0,889489.0,93659737.0,5.2,13.39,0.0,6547147.0,248956.0,100.0,15.2,1.8,19.0,0.38,,,20.13,4653433331.0,123459.0
